"FID"	"IID"	"Sigs160.Wolf_Buck14.score"	"Sigs160.Wolf_CD103neg.mean.25446897"	"Sigs160.Wolf_CD103pos.CD103neg.ratio.25446897"	"Sigs160.Wolf_CD103pos.mean.25446897"	"Sigs160.Wolf_CD68"
"TCGA-04-1519"	"TCGA-04-1519"	0.3261	-0.794	-0.1835	-0.8236	-1.705
"TCGA-24-1557"	"TCGA-24-1557"	0.1567	0.2598	-0.8369	-0.3853	0.111
"TCGA-36-1574"	"TCGA-36-1574"	0.1645	0.0669	-0.8076	-0.5142	-0.2
"TCGA-57-1583"	"TCGA-57-1583"	-0.2862	-1.1435	0.7407	-0.5755	-1.148
"TCGA-25-1630"	"TCGA-25-1630"	0.3817	0.7481	-0.6735	0.1138	0.711
"TCGA-09-1662"	"TCGA-09-1662"	0.6765	0.0779	0.1339	0.1713	0.047
"TCGA-04-1525"	"TCGA-04-1525"	NA	NA	NA	NA	NA
"TCGA-24-1558"	"TCGA-24-1558"	0.4603	-0.3113	-0.3436	-0.5133	-0.756
"TCGA-36-1575"	"TCGA-36-1575"	0.1901	-0.7346	0.4733	-0.3461	-1.752
"TCGA-57-1584"	"TCGA-57-1584"	0.4779	0.0145	-0.4905	-0.3423	-0.334
"TCGA-25-1631"	"TCGA-25-1631"	0.2987	0.0947	-0.7444	-0.4507	-0.656
"TCGA-09-1665"	"TCGA-09-1665"	NA	NA	NA	NA	NA
"TCGA-04-1536"	"TCGA-04-1536"	NA	NA	NA	NA	NA
"TCGA-24-1560"	"TCGA-24-1560"	0.782	-0.7368	0.4802	-0.3435	-1.177
"TCGA-36-1576"	"TCGA-36-1576"	NA	NA	NA	NA	NA
"TCGA-57-1585"	"TCGA-57-1585"	NA	NA	NA	NA	NA
"TCGA-25-1632"	"TCGA-25-1632"	0.5816	-0.8958	0.035	-0.7811	-1.888
"TCGA-09-1666"	"TCGA-09-1666"	0.0169	0.0494	-0.361	-0.2228	0.114
"TCGA-24-1544"	"TCGA-24-1544"	-0.4223	-0.55	-0.9116	-1.0492	-1.301
"TCGA-24-1567"	"TCGA-24-1567"	0.6403	-0.8785	0.0604	-0.7499	-1.62
"TCGA-36-1577"	"TCGA-36-1577"	0.4995	-0.6191	-0.0503	-0.5876	-0.515
"TCGA-25-1623"	"TCGA-25-1623"	0.3786	0.9299	-0.5483	0.3586	0.927
"TCGA-25-1633"	"TCGA-25-1633"	0.5642	0.5454	0.0739	0.5481	0.358
"TCGA-09-1667"	"TCGA-09-1667"	-0.3382	-0.0597	0.4139	0.2635	0.199
"TCGA-24-1545"	"TCGA-24-1545"	NA	NA	NA	NA	NA
"TCGA-36-1568"	"TCGA-36-1568"	0.463	0.1833	-0.2725	-0.0455	-0.073
"TCGA-36-1578"	"TCGA-36-1578"	0.6382	0.1659	-0.3913	-0.1473	0.322
"TCGA-25-1625"	"TCGA-25-1625"	0.2272	0.6289	-0.9339	-0.1724	0.117
"TCGA-25-1634"	"TCGA-25-1634"	0.6998	-1.467	0.4454	-1.0749	-2.608
"TCGA-09-1668"	"TCGA-09-1668"	0.1013	0.2192	-0.0699	0.1395	-0.164
"TCGA-24-1546"	"TCGA-24-1546"	NA	NA	NA	NA	NA
"TCGA-36-1569"	"TCGA-36-1569"	NA	NA	NA	NA	NA
"TCGA-36-1580"	"TCGA-36-1580"	-0.2032	0.4618	-0.3044	0.1664	0.27
"TCGA-25-1626"	"TCGA-25-1626"	NA	NA	NA	NA	NA
"TCGA-25-1635"	"TCGA-25-1635"	0.5287	0.3999	0.0381	0.3868	0.366
"TCGA-09-1669"	"TCGA-09-1669"	0.7556	0.0646	0.1067	0.138	-0.223
"TCGA-24-1548"	"TCGA-24-1548"	0.288	-0.0027	-0.478	-0.3478	-0.343
"TCGA-36-1570"	"TCGA-36-1570"	0.4546	-0.3639	0.0389	-0.3	-0.417
"TCGA-36-1581"	"TCGA-36-1581"	0.3906	0.2833	0.6632	0.813	0.512
"TCGA-25-1627"	"TCGA-25-1627"	0.2348	-0.4344	0.2132	-0.2421	-0.522
"TCGA-09-1659"	"TCGA-09-1659"	0.2691	0.2265	-1.082	-0.5731	-0.059
"TCGA-04-1517"	"TCGA-04-1517"	NA	NA	NA	NA	NA
"TCGA-24-1556"	"TCGA-24-1556"	0.3472	0.3275	-0.0405	0.2585	0.102
