"FID"	"IID"	"Sigs160.Wolf_CD8.CD68.ratio"	"Sigs160.Wolf_CD8.PCA.16704732"	"Sigs160.Wolf_CD8A"	"Sigs160.Wolf_CHANG.CORE.SERUM.RESPONSE.UP"	"Sigs160.Wolf_Chemokine12.score"
"TCGA-04-1519"	"TCGA-04-1519"	0.4826	-1.1784	-1.924	0.079	-2.1057
"TCGA-24-1557"	"TCGA-24-1557"	-2.2	-1.4598	-2.813	0.196	-0.644
"TCGA-36-1574"	"TCGA-36-1574"	-0.075	-0.1412	-0.414	0.3955	0.9013
"TCGA-57-1583"	"TCGA-57-1583"	-0.0876	-0.7528	-1.786	0.2775	-1.1093
"TCGA-25-1630"	"TCGA-25-1630"	-1.5177	-0.1134	-1.464	0.2065	0.5601
"TCGA-09-1662"	"TCGA-09-1662"	-0.199	0.3018	-0.269	0.205	0.2123
"TCGA-04-1525"	"TCGA-04-1525"	NA	NA	NA	NA	NA
"TCGA-24-1558"	"TCGA-24-1558"	-0.5459	-1.6085	-1.838	0.187	-1.113
"TCGA-36-1575"	"TCGA-36-1575"	1.0553	-1.659	-1.252	0.0775	-1.8413
"TCGA-57-1584"	"TCGA-57-1584"	-0.0816	-0.6588	-0.616	-0.035	-1.1385
"TCGA-25-1631"	"TCGA-25-1631"	-0.1157	-0.9467	-1.125	0.1485	-1.2678
"TCGA-09-1665"	"TCGA-09-1665"	NA	NA	NA	NA	NA
"TCGA-04-1536"	"TCGA-04-1536"	NA	NA	NA	NA	NA
"TCGA-24-1560"	"TCGA-24-1560"	0.5504	-1.0942	-0.955	0.2025	-1.0278
"TCGA-36-1576"	"TCGA-36-1576"	NA	NA	NA	NA	NA
"TCGA-57-1585"	"TCGA-57-1585"	NA	NA	NA	NA	NA
"TCGA-25-1632"	"TCGA-25-1632"	-0.3649	-1.8715	-3.11	0.1165	-1.9166
"TCGA-09-1666"	"TCGA-09-1666"	0.1632	0.1122	0.46	0.2685	0.3749
"TCGA-24-1544"	"TCGA-24-1544"	1.6727	-1.0389	0.69	0.306	-1.5607
"TCGA-24-1567"	"TCGA-24-1567"	1.6933	-1.581	0.016	0.2425	-1.4064
"TCGA-36-1577"	"TCGA-36-1577"	0.3207	-1.9658	-0.239	0.511	-2.2068
"TCGA-25-1623"	"TCGA-25-1623"	-0.0879	0.8782	1.172	0.188	1.8342
"TCGA-25-1633"	"TCGA-25-1633"	0.3227	0.2349	1.145	0.0665	1.113
"TCGA-09-1667"	"TCGA-09-1667"	0.2404	0.8432	0.735	0.32	1.2719
"TCGA-24-1545"	"TCGA-24-1545"	NA	NA	NA	NA	NA
"TCGA-36-1568"	"TCGA-36-1568"	0.1302	0.0426	0.118	-0.0015	-0.5046
"TCGA-36-1578"	"TCGA-36-1578"	0.2722	0.6888	0.988	-0.001	0.7857
"TCGA-25-1625"	"TCGA-25-1625"	-0.177	-0.3144	-0.135	0.0875	-0.0818
"TCGA-25-1634"	"TCGA-25-1634"	0.3944	-2.5776	-3.486	0.1595	-2.5162
"TCGA-09-1668"	"TCGA-09-1668"	0.5057	0.5663	0.657	0.1935	0.8117
"TCGA-24-1546"	"TCGA-24-1546"	NA	NA	NA	NA	NA
"TCGA-36-1569"	"TCGA-36-1569"	NA	NA	NA	NA	NA
"TCGA-36-1580"	"TCGA-36-1580"	0.1994	0.1266	0.766	0.1455	0.8053
"TCGA-25-1626"	"TCGA-25-1626"	NA	NA	NA	NA	NA
"TCGA-25-1635"	"TCGA-25-1635"	0.0644	0.0431	0.654	0.1615	0.0584
"TCGA-09-1669"	"TCGA-09-1669"	0.5705	0.0048	0.681	0.3735	0.5742
"TCGA-24-1548"	"TCGA-24-1548"	-0.4447	-1.2043	-1.171	0.244	-0.5571
"TCGA-36-1570"	"TCGA-36-1570"	-0.5004	-1.194	-1.345	0.309	-0.587
"TCGA-36-1581"	"TCGA-36-1581"	0.4483	0.7198	1.653	0.1805	1.6505
"TCGA-25-1627"	"TCGA-25-1627"	-0.1162	-1.0544	-0.936	0.147	-1.1522
"TCGA-09-1659"	"TCGA-09-1659"	-0.1255	0.1631	-0.296	0.4425	0.1632
"TCGA-04-1517"	"TCGA-04-1517"	NA	NA	NA	NA	NA
"TCGA-24-1556"	"TCGA-24-1556"	0.0995	0.2839	0.326	0.3495	0.1166
"TCGA-36-1571"	"TCGA-36-1571"	0.3331	-1.3977	-1.276	0.2615	-1.4989
"TCGA-57-1582"	"TCGA-57-1582"	-0.0013	-0.9969	-0.556	0.4145	-0.3638
"TCGA-25-1628"	"TCGA-25-1628"	NA	NA	NA	NA	NA
"TCGA-09-1661"	"TCGA-09-1661"	NA	NA	NA	NA	NA
"TCGA-DA-A1IC"	"TCGA-DA-A1IC"	NA	NA	NA	NA	NA
"TCGA-FS-A1ZP"	"TCGA-FS-A1ZP"	NA	NA	NA	NA	NA
"TCGA-FS-A1YW"	"TCGA-FS-A1YW"	NA	NA	NA	NA	NA
"TCGA-FS-A1ZN"	"TCGA-FS-A1ZN"	-0.0052	-1.2046	-1.261	-0.032	-1.2625
"TCGA-FS-A1Z0"	"TCGA-FS-A1Z0"	NA	NA	NA	NA	NA
"TCGA-FS-A1YY"	"TCGA-FS-A1YY"	NA	NA	NA	NA	NA
"TCGA-FS-A1ZC"	"TCGA-FS-A1ZC"	NA	NA	NA	NA	NA
