"FID"	"IID"	"Sigs160.Wolf_CSF1.response"	"Sigs160.Wolf_CSR.Activated.15701700"	"Sigs160.Wolf_CTLA4.data"	"Sigs160.Wolf_DAP12.data"	"Sigs160.Wolf_GP11.Immune.IFN"
"TCGA-04-1519"	"TCGA-04-1519"	-1.323	0.0469	-2.668	-0.865	0.1546
"TCGA-24-1557"	"TCGA-24-1557"	-0.1592	0.1456	-1.656	0.245	0.3421
"TCGA-36-1574"	"TCGA-36-1574"	0.0811	0.2945	0.442	0.208	0.4691
"TCGA-57-1583"	"TCGA-57-1583"	-0.9006	0.1657	-2.114	-1.085	0.5996
"TCGA-25-1630"	"TCGA-25-1630"	0.7804	0.0886	-0.494	1.401	0.2901
"TCGA-09-1662"	"TCGA-09-1662"	0.3321	0.1821	-1.14	0.302	-0.0934
"TCGA-04-1525"	"TCGA-04-1525"	NA	NA	NA	NA	NA
"TCGA-24-1558"	"TCGA-24-1558"	-0.62	0.2177	-3.036	-0.594	0.0046
"TCGA-36-1575"	"TCGA-36-1575"	-1.3676	0.0997	-2.034	-1.379	0.0696
"TCGA-57-1584"	"TCGA-57-1584"	0.0486	-0.0304	-1.881	0.359	0.3346
"TCGA-25-1631"	"TCGA-25-1631"	-0.3583	0.0385	-1.793	-0.444	0.4741
"TCGA-09-1665"	"TCGA-09-1665"	NA	NA	NA	NA	NA
"TCGA-04-1536"	"TCGA-04-1536"	NA	NA	NA	NA	NA
"TCGA-24-1560"	"TCGA-24-1560"	-0.7683	0.1696	-0.992	-0.654	0.5941
"TCGA-36-1576"	"TCGA-36-1576"	NA	NA	NA	NA	NA
"TCGA-57-1585"	"TCGA-57-1585"	NA	NA	NA	NA	NA
"TCGA-25-1632"	"TCGA-25-1632"	-1.2961	0.087	-2.711	-1.446	0.1361
"TCGA-09-1666"	"TCGA-09-1666"	0.2283	0.2517	-0.146	0.676	0.6081
"TCGA-24-1544"	"TCGA-24-1544"	-1.1289	0.1676	-2.125	-0.69	0.3061
"TCGA-24-1567"	"TCGA-24-1567"	-1.1194	0.2197	0.489	-1.07	-0.1344
"TCGA-36-1577"	"TCGA-36-1577"	-0.7104	0.3728	-2.788	-0.393	-0.1614
"TCGA-25-1623"	"TCGA-25-1623"	0.8813	0.0703	1.897	1.184	0.6796
"TCGA-25-1633"	"TCGA-25-1633"	0.4663	0.0711	0.759	0.663	0.4861
"TCGA-09-1667"	"TCGA-09-1667"	0.4178	0.1523	1.162	0.653	0.5506
"TCGA-24-1545"	"TCGA-24-1545"	NA	NA	NA	NA	NA
"TCGA-36-1568"	"TCGA-36-1568"	0.1951	-0.0518	-0.358	0.26	0.3551
"TCGA-36-1578"	"TCGA-36-1578"	0.491	0.0357	0.357	0.485	0.3206
"TCGA-25-1625"	"TCGA-25-1625"	0.3937	-0.0218	-0.183	0.767	0.0486
"TCGA-25-1634"	"TCGA-25-1634"	-1.8906	0.174	-3.036	-1.415	-0.3464
"TCGA-09-1668"	"TCGA-09-1668"	0.3566	0.1246	1.865	0.422	0.6561
"TCGA-24-1546"	"TCGA-24-1546"	NA	NA	NA	NA	NA
"TCGA-36-1569"	"TCGA-36-1569"	NA	NA	NA	NA	NA
"TCGA-36-1580"	"TCGA-36-1580"	0.3611	0.0793	-0.147	0.528	0.1401
"TCGA-25-1626"	"TCGA-25-1626"	NA	NA	NA	NA	NA
"TCGA-25-1635"	"TCGA-25-1635"	0.4287	0.0716	-0.171	0.813	0.5861
"TCGA-09-1669"	"TCGA-09-1669"	0.0271	0.2956	0.555	0.576	0.0606
"TCGA-24-1548"	"TCGA-24-1548"	-0.3014	0.1922	-0.624	-0.41	0.6771
"TCGA-36-1570"	"TCGA-36-1570"	-0.3618	0.2333	-1.714	-0.139	0.6146
"TCGA-36-1581"	"TCGA-36-1581"	0.5889	0.0651	1.851	0.717	0.7126
"TCGA-25-1627"	"TCGA-25-1627"	-0.4549	0.1238	-2.185	-0.305	-0.0544
"TCGA-09-1659"	"TCGA-09-1659"	-0.0625	0.2797	-0.601	1.246	0.4146
"TCGA-04-1517"	"TCGA-04-1517"	NA	NA	NA	NA	NA
"TCGA-24-1556"	"TCGA-24-1556"	0.2606	0.2036	0.324	0.398	0.7886
"TCGA-36-1571"	"TCGA-36-1571"	-0.9471	0.2111	-1.985	-0.866	0.5651
"TCGA-57-1582"	"TCGA-57-1582"	-0.3786	0.3692	-1.409	-0.198	-0.3559
"TCGA-25-1628"	"TCGA-25-1628"	NA	NA	NA	NA	NA
"TCGA-09-1661"	"TCGA-09-1661"	NA	NA	NA	NA	NA
"TCGA-DA-A1IC"	"TCGA-DA-A1IC"	NA	NA	NA	NA	NA
"TCGA-FS-A1ZP"	"TCGA-FS-A1ZP"	NA	NA	NA	NA	NA
"TCGA-FS-A1YW"	"TCGA-FS-A1YW"	NA	NA	NA	NA	NA
"TCGA-FS-A1ZN"	"TCGA-FS-A1ZN"	-0.9117	-0.0819	-1.228	-1.416	-0.2339
"TCGA-FS-A1Z0"	"TCGA-FS-A1Z0"	NA	NA	NA	NA	NA
"TCGA-FS-A1YY"	"TCGA-FS-A1YY"	NA	NA	NA	NA	NA
"TCGA-FS-A1ZC"	"TCGA-FS-A1ZC"	NA	NA	NA	NA	NA
"TCGA-FS-A1ZD"	"TCGA-FS-A1ZD"	NA	NA	NA	NA	NA
"TCGA-FS-A1ZE"	"TCGA-FS-A1ZE"	NA	NA	NA	NA	NA
"TCGA-FS-A1ZQ"	"TCGA-FS-A1ZQ"	NA	NA	NA	NA	NA
"TCGA-FS-A1ZK"	"TCGA-FS-A1ZK"	NA	NA	NA	NA	NA
"TCGA-BF-A1PU"	"TCGA-BF-A1PU"	-1.4077	-0.0391	-1.812	-1.604	-0.4844
"TCGA-D3-A1Q3"	"TCGA-D3-A1Q3"	NA	NA	NA	NA	NA
"TCGA-FS-A1ZF"	"TCGA-FS-A1ZF"	NA	NA	NA	NA	NA
"TCGA-FS-A1Z3"	"TCGA-FS-A1Z3"	NA	NA	NA	NA	NA
"TCGA-FS-A1YX"	"TCGA-FS-A1YX"	NA	NA	NA	NA	NA
"TCGA-FS-A1ZH"	"TCGA-FS-A1ZH"	NA	NA	NA	NA	NA
"TCGA-FS-A1ZA"	"TCGA-FS-A1ZA"	NA	NA	NA	NA	NA
"TCGA-FS-A1ZJ"	"TCGA-FS-A1ZJ"	NA	NA	NA	NA	NA
"TCGA-FS-A1Z4"	"TCGA-FS-A1Z4"	NA	NA	NA	NA	NA
"TCGA-D9-A1X3"	"TCGA-D9-A1X3"	NA	NA	NA	NA	NA
"TCGA-FS-A1ZM"	"TCGA-FS-A1ZM"	NA	NA	NA	NA	NA
"TCGA-BF-A1PX"	"TCGA-BF-A1PX"	0.8836	-0.0245	1.202	1.467	0.4381
"TCGA-BF-A1PV"	"TCGA-BF-A1PV"	-1.3462	0.1822	-1.533	-1.388	-0.3114
"TCGA-D3-A1QB"	"TCGA-D3-A1QB"	NA	NA	NA	NA	NA
"TCGA-D3-A1Q9"	"TCGA-D3-A1Q9"	NA	NA	NA	NA	NA
"TCGA-D3-A1Q1"	"TCGA-D3-A1Q1"	NA	NA	NA	NA	NA
"TCGA-D3-A1Q6"	"TCGA-D3-A1Q6"	NA	NA	NA	NA	NA
"TCGA-D3-A1QA"	"TCGA-D3-A1QA"	NA	NA	NA	NA	NA
"TCGA-DA-A1IA"	"TCGA-DA-A1IA"	NA	NA	NA	NA	NA
"TCGA-FS-A1ZS"	"TCGA-FS-A1ZS"	NA	NA	NA	NA	NA
"TCGA-FS-A1Z7"	"TCGA-FS-A1Z7"	NA	NA	NA	NA	NA
"TCGA-FS-A1ZT"	"TCGA-FS-A1ZT"	NA	NA	NA	NA	NA
"TCGA-FS-A1ZR"	"TCGA-FS-A1ZR"	NA	NA	NA	NA	NA
