"FID"	"IID"	"Sigs160.Wolf_MHC1.21978456"	"Sigs160.Wolf_MHC2.21978456"	"Sigs160.Wolf_Minterferon.Cluster.21214954"	"Sigs160.Wolf_Module11.Prolif.score"	"Sigs160.Wolf_Module3.IFN.score"
"TCGA-04-1519"	"TCGA-04-1519"	-1.4746	-0.4823	-0.2268	-0.241	0.3933
"TCGA-24-1557"	"TCGA-24-1557"	-0.293	-0.172	0.4265	0.6497	0.8828
"TCGA-36-1574"	"TCGA-36-1574"	-0.2066	0.1398	0.7839	0.9089	1.4219
"TCGA-57-1583"	"TCGA-57-1583"	-0.6427	-1.0646	0.6114	0.7194	1.3007
"TCGA-25-1630"	"TCGA-25-1630"	-0.2134	0.4112	0.2236	0.5385	0.5824
"TCGA-09-1662"	"TCGA-09-1662"	-0.2763	0.7676	0.0552	0.6895	-0.2979
"TCGA-04-1525"	"TCGA-04-1525"	NA	NA	NA	NA	NA
"TCGA-24-1558"	"TCGA-24-1558"	-1.3491	-0.6823	-0.1243	0.6653	0.2688
"TCGA-36-1575"	"TCGA-36-1575"	-1.2727	-1.7986	-0.1152	0.4029	0.3818
"TCGA-57-1584"	"TCGA-57-1584"	0.0797	1.3102	0.4625	-0.0671	0.9332
"TCGA-25-1631"	"TCGA-25-1631"	-0.6041	-0.3208	0.3986	0.3208	1.0521
"TCGA-09-1665"	"TCGA-09-1665"	NA	NA	NA	NA	NA
"TCGA-04-1536"	"TCGA-04-1536"	NA	NA	NA	NA	NA
"TCGA-24-1560"	"TCGA-24-1560"	-0.253	-0.4498	0.7113	0.4039	1.5406
"TCGA-36-1576"	"TCGA-36-1576"	NA	NA	NA	NA	NA
"TCGA-57-1585"	"TCGA-57-1585"	NA	NA	NA	NA	NA
"TCGA-25-1632"	"TCGA-25-1632"	-1.303	-1.4962	-0.5081	0.0176	0.0799
"TCGA-09-1666"	"TCGA-09-1666"	-0.0473	0.3319	1.3034	0.4661	1.8776
"TCGA-24-1544"	"TCGA-24-1544"	-0.6809	-1.7019	-0.1194	0.397	0.7719
"TCGA-24-1567"	"TCGA-24-1567"	-0.3413	-1.3565	-0.5287	0.6339	-0.1751
"TCGA-36-1577"	"TCGA-36-1577"	-1.1246	-1.2807	-0.8309	1.0503	-0.4697
"TCGA-25-1623"	"TCGA-25-1623"	0.2067	0.5578	1.2204	0.5931	1.8097
"TCGA-25-1633"	"TCGA-25-1633"	0.2564	0.4353	0.6923	-0.3773	1.199
"TCGA-09-1667"	"TCGA-09-1667"	0.3586	1.0446	1.1228	0.8078	1.5684
"TCGA-24-1545"	"TCGA-24-1545"	NA	NA	NA	NA	NA
"TCGA-36-1568"	"TCGA-36-1568"	-0.7017	1.174	0.6188	-0.2015	1.123
"TCGA-36-1578"	"TCGA-36-1578"	1.036	1.6788	0.8991	-0.0655	0.9826
"TCGA-25-1625"	"TCGA-25-1625"	0.022	1.7796	0.3879	-0.0768	0.2882
"TCGA-25-1634"	"TCGA-25-1634"	-1.869	-1.7431	-1.4195	0.1344	-1.3378
"TCGA-09-1668"	"TCGA-09-1668"	0.4527	1.0005	1.2535	0.7379	1.6737
"TCGA-24-1546"	"TCGA-24-1546"	NA	NA	NA	NA	NA
"TCGA-36-1569"	"TCGA-36-1569"	NA	NA	NA	NA	NA
"TCGA-36-1580"	"TCGA-36-1580"	-0.2269	0.8532	0.3885	-0.1597	0.4427
"TCGA-25-1626"	"TCGA-25-1626"	NA	NA	NA	NA	NA
"TCGA-25-1635"	"TCGA-25-1635"	-0.442	0.5425	0.752	0.711	1.4939
"TCGA-09-1669"	"TCGA-09-1669"	-0.2986	0.319	0.3167	0.7109	0.3393
"TCGA-24-1548"	"TCGA-24-1548"	-0.5583	-0.985	1.0397	1.0092	1.8716
"TCGA-36-1570"	"TCGA-36-1570"	0.0514	0.9424	0.9454	0.7354	1.7838
"TCGA-36-1581"	"TCGA-36-1581"	0.8997	1.3516	1.4162	1.1203	1.8776
"TCGA-25-1627"	"TCGA-25-1627"	-1.5759	-0.4623	-0.193	0.6592	-0.0986
"TCGA-09-1659"	"TCGA-09-1659"	0.7916	1.5128	0.6531	0.5038	1.2294
"TCGA-04-1517"	"TCGA-04-1517"	NA	NA	NA	NA	NA
"TCGA-24-1556"	"TCGA-24-1556"	-0.0447	1.2381	1.2875	1.028	1.9398
"TCGA-36-1571"	"TCGA-36-1571"	-1.1173	-2.084	0.5468	0.8228	1.4275
"TCGA-57-1582"	"TCGA-57-1582"	-1.6163	-0.8545	-0.6986	0.9165	-0.6034
"TCGA-25-1628"	"TCGA-25-1628"	NA	NA	NA	NA	NA
"TCGA-09-1661"	"TCGA-09-1661"	NA	NA	NA	NA	NA
"TCGA-DA-A1IC"	"TCGA-DA-A1IC"	NA	NA	NA	NA	NA
"TCGA-FS-A1ZP"	"TCGA-FS-A1ZP"	NA	NA	NA	NA	NA
"TCGA-FS-A1YW"	"TCGA-FS-A1YW"	NA	NA	NA	NA	NA
"TCGA-FS-A1ZN"	"TCGA-FS-A1ZN"	0.0113	-0.4645	-0.4861	-0.0782	-0.7455
"TCGA-FS-A1Z0"	"TCGA-FS-A1Z0"	NA	NA	NA	NA	NA
"TCGA-FS-A1YY"	"TCGA-FS-A1YY"	NA	NA	NA	NA	NA
"TCGA-FS-A1ZC"	"TCGA-FS-A1ZC"	NA	NA	NA	NA	NA
"TCGA-FS-A1ZD"	"TCGA-FS-A1ZD"	NA	NA	NA	NA	NA
"TCGA-FS-A1ZE"	"TCGA-FS-A1ZE"	NA	NA	NA	NA	NA
"TCGA-FS-A1ZQ"	"TCGA-FS-A1ZQ"	NA	NA	NA	NA	NA
"TCGA-FS-A1ZK"	"TCGA-FS-A1ZK"	NA	NA	NA	NA	NA
"TCGA-BF-A1PU"	"TCGA-BF-A1PU"	-0.5346	-2.1053	-1.2699	0.1199	-1.6979
"TCGA-D3-A1Q3"	"TCGA-D3-A1Q3"	NA	NA	NA	NA	NA
"TCGA-FS-A1ZF"	"TCGA-FS-A1ZF"	NA	NA	NA	NA	NA
"TCGA-FS-A1Z3"	"TCGA-FS-A1Z3"	NA	NA	NA	NA	NA
"TCGA-FS-A1YX"	"TCGA-FS-A1YX"	NA	NA	NA	NA	NA
"TCGA-FS-A1ZH"	"TCGA-FS-A1ZH"	NA	NA	NA	NA	NA
"TCGA-FS-A1ZA"	"TCGA-FS-A1ZA"	NA	NA	NA	NA	NA
"TCGA-FS-A1ZJ"	"TCGA-FS-A1ZJ"	NA	NA	NA	NA	NA
"TCGA-FS-A1Z4"	"TCGA-FS-A1Z4"	NA	NA	NA	NA	NA
"TCGA-D9-A1X3"	"TCGA-D9-A1X3"	NA	NA	NA	NA	NA
"TCGA-FS-A1ZM"	"TCGA-FS-A1ZM"	NA	NA	NA	NA	NA
"TCGA-BF-A1PX"	"TCGA-BF-A1PX"	1.0877	0.8712	0.8348	0.3343	0.8158
"TCGA-BF-A1PV"	"TCGA-BF-A1PV"	-1.0801	-1.9865	-1.0619	0.4448	-0.8773
"TCGA-D3-A1QB"	"TCGA-D3-A1QB"	NA	NA	NA	NA	NA
"TCGA-D3-A1Q9"	"TCGA-D3-A1Q9"	NA	NA	NA	NA	NA
"TCGA-D3-A1Q1"	"TCGA-D3-A1Q1"	NA	NA	NA	NA	NA
"TCGA-D3-A1Q6"	"TCGA-D3-A1Q6"	NA	NA	NA	NA	NA
"TCGA-D3-A1QA"	"TCGA-D3-A1QA"	NA	NA	NA	NA	NA
"TCGA-DA-A1IA"	"TCGA-DA-A1IA"	NA	NA	NA	NA	NA
"TCGA-FS-A1ZS"	"TCGA-FS-A1ZS"	NA	NA	NA	NA	NA
"TCGA-FS-A1Z7"	"TCGA-FS-A1Z7"	NA	NA	NA	NA	NA
"TCGA-FS-A1ZT"	"TCGA-FS-A1ZT"	NA	NA	NA	NA	NA
"TCGA-FS-A1ZR"	"TCGA-FS-A1ZR"	NA	NA	NA	NA	NA
"TCGA-FS-A1ZB"	"TCGA-FS-A1ZB"	NA	NA	NA	NA	NA
"TCGA-BF-A1Q0"	"TCGA-BF-A1Q0"	0.2053	1.5312	0.2482	1.0546	0.0528
"TCGA-BF-A1PZ"	"TCGA-BF-A1PZ"	0.5599	-0.8906	0.2405	0.238	0.8755
"TCGA-D9-A1JX"	"TCGA-D9-A1JX"	NA	NA	NA	NA	NA
"TCGA-D3-A1Q8"	"TCGA-D3-A1Q8"	NA	NA	NA	NA	NA
"TCGA-D3-A1Q7"	"TCGA-D3-A1Q7"	NA	NA	NA	NA	NA
"TCGA-D3-A1Q4"	"TCGA-D3-A1Q4"	NA	NA	NA	NA	NA
