"FID"	"IID"	"Sigs160.Wolf_Module4.TcellBcell.score"	"Sigs160.Wolf_Module5.TcellBcell.score"	"Sigs160.Wolf_NHI.5gene.score"	"Sigs160.Wolf_PD1.data"	"Sigs160.Wolf_PD1.PDL1.score"
"TCGA-04-1519"	"TCGA-04-1519"	-1.9619	-1.6921	-0.1235	-2.337	-2.153
"TCGA-24-1557"	"TCGA-24-1557"	-1.0591	-0.5484	1.0695	0.078	-0.448
"TCGA-36-1574"	"TCGA-36-1574"	-0.383	0.2417	0.9415	-0.118	-0.1705
"TCGA-57-1583"	"TCGA-57-1583"	-1.5608	-1.0438	0.6435	-2.586	-1.503
"TCGA-25-1630"	"TCGA-25-1630"	-0.0774	0.2669	-0.0025	-0.654	-0.7655
"TCGA-09-1662"	"TCGA-09-1662"	0.0666	0.2598	-0.12	-1.573	-0.888
"TCGA-04-1525"	"TCGA-04-1525"	NA	NA	NA	NA	NA
"TCGA-24-1558"	"TCGA-24-1558"	-1.4915	-1.069	-0.1145	-2.176	-1.4965
"TCGA-36-1575"	"TCGA-36-1575"	-1.5319	-1.5132	0.0735	-1.772	-1.069
"TCGA-57-1584"	"TCGA-57-1584"	-1.0517	-0.656	0.12	-1.284	-0.956
"TCGA-25-1631"	"TCGA-25-1631"	-1.2724	-0.8085	0.471	0.716	0.366
"TCGA-09-1665"	"TCGA-09-1665"	NA	NA	NA	NA	NA
"TCGA-04-1536"	"TCGA-04-1536"	NA	NA	NA	NA	NA
"TCGA-24-1560"	"TCGA-24-1560"	-1.1661	-0.7078	1.147	-1.057	-0.7285
"TCGA-36-1576"	"TCGA-36-1576"	NA	NA	NA	NA	NA
"TCGA-57-1585"	"TCGA-57-1585"	NA	NA	NA	NA	NA
"TCGA-25-1632"	"TCGA-25-1632"	-1.9359	-1.6047	0.366	-1.184	-1.574
"TCGA-09-1666"	"TCGA-09-1666"	-0.1903	0.3576	1.602	0.158	0.521
"TCGA-24-1544"	"TCGA-24-1544"	-1.5614	-1.1399	0.3645	-1.57	-1.451
"TCGA-24-1567"	"TCGA-24-1567"	-2.0445	-1.622	-0.7385	0.466	0.0075
"TCGA-36-1577"	"TCGA-36-1577"	-1.8248	-1.4297	-1.06	-1.575	-1.5445
"TCGA-25-1623"	"TCGA-25-1623"	1.1362	1.3341	1.6565	1.029	0.9975
"TCGA-25-1633"	"TCGA-25-1633"	0.4417	0.5208	1.207	0.59	0.3975
"TCGA-09-1667"	"TCGA-09-1667"	0.4773	0.9212	1.5455	0.901	0.969
"TCGA-24-1545"	"TCGA-24-1545"	NA	NA	NA	NA	NA
"TCGA-36-1568"	"TCGA-36-1568"	0.0289	0.1936	0.705	1.284	0.702
"TCGA-36-1578"	"TCGA-36-1578"	0.4873	0.8712	1.4115	0.336	0.461
"TCGA-25-1625"	"TCGA-25-1625"	-0.2792	-0.0279	0.3515	-0.514	-0.4485
"TCGA-25-1634"	"TCGA-25-1634"	-2.4435	-2.3161	-0.682	-2.622	-2.9455
"TCGA-09-1668"	"TCGA-09-1668"	0.3073	0.8832	1.7685	0.575	0.7575
"TCGA-24-1546"	"TCGA-24-1546"	NA	NA	NA	NA	NA
"TCGA-36-1569"	"TCGA-36-1569"	NA	NA	NA	NA	NA
"TCGA-36-1580"	"TCGA-36-1580"	0.1907	0.4426	0.4505	1.083	0.534
"TCGA-25-1626"	"TCGA-25-1626"	NA	NA	NA	NA	NA
"TCGA-25-1635"	"TCGA-25-1635"	0.1417	0.1651	0.7925	-0.301	-0.552
"TCGA-09-1669"	"TCGA-09-1669"	0.3661	0.5741	0.829	0.856	0.307
"TCGA-24-1548"	"TCGA-24-1548"	-0.737	-0.2351	1.323	-1.222	-0.321
"TCGA-36-1570"	"TCGA-36-1570"	-1.1499	-0.4541	1.3625	-1.548	-0.5865
"TCGA-36-1581"	"TCGA-36-1581"	1.0882	1.3433	2.164	1.992	1.518
"TCGA-25-1627"	"TCGA-25-1627"	-0.8293	-0.6702	-0.1025	-1.558	-1.331
"TCGA-09-1659"	"TCGA-09-1659"	-0.5998	-0.0048	0.3965	0.556	-0.304
"TCGA-04-1517"	"TCGA-04-1517"	NA	NA	NA	NA	NA
"TCGA-24-1556"	"TCGA-24-1556"	0.1099	0.4359	1.386	0.01	0.4085
"TCGA-36-1571"	"TCGA-36-1571"	-1.534	-1.2502	0.6945	-1.492	-1.1855
"TCGA-57-1582"	"TCGA-57-1582"	-0.4643	-0.5088	-0.06	-1.437	-1.4655
"TCGA-25-1628"	"TCGA-25-1628"	NA	NA	NA	NA	NA
"TCGA-09-1661"	"TCGA-09-1661"	NA	NA	NA	NA	NA
"TCGA-DA-A1IC"	"TCGA-DA-A1IC"	NA	NA	NA	NA	NA
"TCGA-FS-A1ZP"	"TCGA-FS-A1ZP"	NA	NA	NA	NA	NA
"TCGA-FS-A1YW"	"TCGA-FS-A1YW"	NA	NA	NA	NA	NA
"TCGA-FS-A1ZN"	"TCGA-FS-A1ZN"	-1.5444	-1.139	-0.3165	-1.086	-0.438
"TCGA-FS-A1Z0"	"TCGA-FS-A1Z0"	NA	NA	NA	NA	NA
"TCGA-FS-A1YY"	"TCGA-FS-A1YY"	NA	NA	NA	NA	NA
"TCGA-FS-A1ZC"	"TCGA-FS-A1ZC"	NA	NA	NA	NA	NA
"TCGA-FS-A1ZD"	"TCGA-FS-A1ZD"	NA	NA	NA	NA	NA
"TCGA-FS-A1ZE"	"TCGA-FS-A1ZE"	NA	NA	NA	NA	NA
"TCGA-FS-A1ZQ"	"TCGA-FS-A1ZQ"	NA	NA	NA	NA	NA
"TCGA-FS-A1ZK"	"TCGA-FS-A1ZK"	NA	NA	NA	NA	NA
"TCGA-BF-A1PU"	"TCGA-BF-A1PU"	-1.915	-1.9765	-1.8495	-2.364	-2.042
"TCGA-D3-A1Q3"	"TCGA-D3-A1Q3"	NA	NA	NA	NA	NA
"TCGA-FS-A1ZF"	"TCGA-FS-A1ZF"	NA	NA	NA	NA	NA
"TCGA-FS-A1Z3"	"TCGA-FS-A1Z3"	NA	NA	NA	NA	NA
"TCGA-FS-A1YX"	"TCGA-FS-A1YX"	NA	NA	NA	NA	NA
"TCGA-FS-A1ZH"	"TCGA-FS-A1ZH"	NA	NA	NA	NA	NA
"TCGA-FS-A1ZA"	"TCGA-FS-A1ZA"	NA	NA	NA	NA	NA
"TCGA-FS-A1ZJ"	"TCGA-FS-A1ZJ"	NA	NA	NA	NA	NA
"TCGA-FS-A1Z4"	"TCGA-FS-A1Z4"	NA	NA	NA	NA	NA
"TCGA-D9-A1X3"	"TCGA-D9-A1X3"	NA	NA	NA	NA	NA
"TCGA-FS-A1ZM"	"TCGA-FS-A1ZM"	NA	NA	NA	NA	NA
"TCGA-BF-A1PX"	"TCGA-BF-A1PX"	1.4554	1.6006	1.1155	2.776	1.9715
"TCGA-BF-A1PV"	"TCGA-BF-A1PV"	-1.7472	-1.5924	-1.444	-1.342	-1.3645
"TCGA-D3-A1QB"	"TCGA-D3-A1QB"	NA	NA	NA	NA	NA
"TCGA-D3-A1Q9"	"TCGA-D3-A1Q9"	NA	NA	NA	NA	NA
"TCGA-D3-A1Q1"	"TCGA-D3-A1Q1"	NA	NA	NA	NA	NA
"TCGA-D3-A1Q6"	"TCGA-D3-A1Q6"	NA	NA	NA	NA	NA
"TCGA-D3-A1QA"	"TCGA-D3-A1QA"	NA	NA	NA	NA	NA
"TCGA-DA-A1IA"	"TCGA-DA-A1IA"	NA	NA	NA	NA	NA
"TCGA-FS-A1ZS"	"TCGA-FS-A1ZS"	NA	NA	NA	NA	NA
"TCGA-FS-A1Z7"	"TCGA-FS-A1Z7"	NA	NA	NA	NA	NA
"TCGA-FS-A1ZT"	"TCGA-FS-A1ZT"	NA	NA	NA	NA	NA
"TCGA-FS-A1ZR"	"TCGA-FS-A1ZR"	NA	NA	NA	NA	NA
"TCGA-FS-A1ZB"	"TCGA-FS-A1ZB"	NA	NA	NA	NA	NA
"TCGA-BF-A1Q0"	"TCGA-BF-A1Q0"	0.2911	0.4191	0.9055	0.236	1.2145
"TCGA-BF-A1PZ"	"TCGA-BF-A1PZ"	-0.6341	-0.2857	0.025	0.632	0.2365
"TCGA-D9-A1JX"	"TCGA-D9-A1JX"	NA	NA	NA	NA	NA
"TCGA-D3-A1Q8"	"TCGA-D3-A1Q8"	NA	NA	NA	NA	NA
"TCGA-D3-A1Q7"	"TCGA-D3-A1Q7"	NA	NA	NA	NA	NA
"TCGA-D3-A1Q4"	"TCGA-D3-A1Q4"	NA	NA	NA	NA	NA
"TCGA-D3-A1Q5"	"TCGA-D3-A1Q5"	NA	NA	NA	NA	NA
"TCGA-FS-A1ZG"	"TCGA-FS-A1ZG"	NA	NA	NA	NA	NA
"TCGA-D9-A1JW"	"TCGA-D9-A1JW"	NA	NA	NA	NA	NA
"TCGA-DA-A1IB"	"TCGA-DA-A1IB"	NA	NA	NA	NA	NA
"TCGA-EB-A1NK"	"TCGA-EB-A1NK"	-0.6289	-0.5559	-0.699	0.136	-0.2895
"TCGA-BJ-A0ZA"	"TCGA-BJ-A0ZA"	-0.1757	-0.4235	-0.2255	1.271	0.768
"TCGA-BJ-A0Z0"	"TCGA-BJ-A0Z0"	-1.8947	-2.1145	-0.6205	-1.68	-1.0155
"TCGA-BJ-A0ZG"	"TCGA-BJ-A0ZG"	-0.3251	-0.7095	-0.374	-0.329	-0.056
"TCGA-C4-A0F7"	"TCGA-C4-A0F7"	-1.228	-0.9696	-0.436	-1.706	-0.915
"TCGA-BT-A0S7"	"TCGA-BT-A0S7"	-0.5015	-0.7948	-1.096	-1.349	-1.5955
"TCGA-CU-A0YN"	"TCGA-CU-A0YN"	0.4995	0.4144	0.468	0.385	0.4635
"TCGA-CE-A13K"	"TCGA-CE-A13K"	-0.3529	-0.537	-0.17	0.42	0.5235
