"FID"	"IID"	"Sigs160.Wolf_TGFB.PCA.17349583"	"Sigs160.Wolf_TGFB.score.21050467"	"Sigs160.Wolf_TREM1.data"	"Sigs160.Wolf_Troester.WoundSig.19887484"	"Core56.Adaptive.Receptor_BCR.Richness.Log10"
"TCGA-04-1519"	"TCGA-04-1519"	-0.9141	-0.4208	-2.6	-0.3858	NA
"TCGA-24-1557"	"TCGA-24-1557"	-0.7573	-0.2881	0.898	-0.1094	0.477121255
"TCGA-36-1574"	"TCGA-36-1574"	0.632	0.273	0.862	0.0254	1.079181246
"TCGA-57-1583"	"TCGA-57-1583"	0.2073	-0.038	0.491	-0.1521	0.301029996
"TCGA-25-1630"	"TCGA-25-1630"	0.0145	0.0249	2.893	0.2388	0.602059991
"TCGA-09-1662"	"TCGA-09-1662"	0.1458	0.0808	0.736	0.0959	0.698970004
"TCGA-04-1525"	"TCGA-04-1525"	NA	NA	NA	NA	NA
"TCGA-24-1558"	"TCGA-24-1558"	-0.314	-0.1707	-0.51	-0.1429	NA
"TCGA-36-1575"	"TCGA-36-1575"	-1.1193	-0.4181	-0.505	-0.2376	1.477121255
"TCGA-57-1584"	"TCGA-57-1584"	-0.8404	-0.2885	0.431	-0.1337	NA
"TCGA-25-1631"	"TCGA-25-1631"	-0.2698	-0.1496	0.449	0.2046	0.301029996
"TCGA-09-1665"	"TCGA-09-1665"	NA	NA	NA	NA	1.255272505
"TCGA-04-1536"	"TCGA-04-1536"	NA	NA	NA	NA	0.477121255
"TCGA-24-1560"	"TCGA-24-1560"	-0.9882	-0.3659	0.481	-0.1375	0.477121255
"TCGA-36-1576"	"TCGA-36-1576"	NA	NA	NA	NA	2.710963119
"TCGA-57-1585"	"TCGA-57-1585"	NA	NA	NA	NA	2.618048097
"TCGA-25-1632"	"TCGA-25-1632"	-0.4736	-0.1546	-0.335	-0.1401	NA
"TCGA-09-1666"	"TCGA-09-1666"	-0.4815	-0.4095	-0.254	-0.1835	NA
"TCGA-24-1544"	"TCGA-24-1544"	-1.2496	-0.409	-0.333	-0.3218	0.602059991
"TCGA-24-1567"	"TCGA-24-1567"	-0.5453	-0.278	-0.897	0.1069	NA
"TCGA-36-1577"	"TCGA-36-1577"	-0.2405	-0.1425	1.579	0.1647	NA
"TCGA-25-1623"	"TCGA-25-1623"	1.4128	0.6388	1.882	0.6542	2.515873844
"TCGA-25-1633"	"TCGA-25-1633"	1.3752	0.6365	1.626	0.5601	1.041392685
"TCGA-09-1667"	"TCGA-09-1667"	0.2886	0.1482	1.361	0.1487	1.799340549
"TCGA-24-1545"	"TCGA-24-1545"	NA	NA	NA	NA	1.681241237
"TCGA-36-1568"	"TCGA-36-1568"	0.4385	0.1272	-2.038	0.308	1.838849091
"TCGA-36-1578"	"TCGA-36-1578"	-0.195	-0.3785	0.195	-0.2632	2.243038049
"TCGA-25-1625"	"TCGA-25-1625"	0.214	0.152	0.59	0.5044	1.380211242
"TCGA-25-1634"	"TCGA-25-1634"	-0.8403	-0.3312	-1.242	-0.692	NA
