"FID"	"IID"	"Sigs160.Attractors_G.GIMAP4"	"Sigs160.Attractors_G.HLA.DPA1"	"Sigs160.Attractors_G.LILRB4"	"Sigs160.Attractors_G.SIGLEC9"	"Sigs160.Attractors_G.SLAMF6"
"TCGA-04-1519"	"TCGA-04-1519"	5.255947148	11.47356361	3.913148621	3.382526166	2.130139504
"TCGA-24-1557"	"TCGA-24-1557"	6.728204747	11.48483241	7.023543032	6.327303133	4.115525261
"TCGA-36-1574"	"TCGA-36-1574"	7.320077585	12.1484593	7.194188669	6.375647407	5.136915143
"TCGA-57-1583"	"TCGA-57-1583"	6.091401721	10.55112121	5.044523616	4.178957647	3.383649458
"TCGA-25-1630"	"TCGA-25-1630"	8.275944685	12.18638582	8.50360636	8.004013796	5.71243256
"TCGA-09-1662"	"TCGA-09-1662"	7.638006108	12.79751331	7.993506209	6.597786337	5.726338965
"TCGA-04-1525"	"TCGA-04-1525"	NA	NA	NA	NA	NA
"TCGA-24-1558"	"TCGA-24-1558"	5.934371402	10.50385132	6.196127769	5.055299807	3.200910956
"TCGA-36-1575"	"TCGA-36-1575"	5.304904359	9.083553857	4.427403349	3.957040161	2.809506056
"TCGA-57-1584"	"TCGA-57-1584"	6.944342641	13.94571119	6.813748898	5.985967169	4.087965725
"TCGA-25-1631"	"TCGA-25-1631"	7.209916669	11.0571415	5.628666727	5.255769811	3.562508377
"TCGA-09-1665"	"TCGA-09-1665"	NA	NA	NA	NA	NA
"TCGA-04-1536"	"TCGA-04-1536"	NA	NA	NA	NA	NA
"TCGA-24-1560"	"TCGA-24-1560"	6.274471754	11.05977126	5.112718959	4.936228991	3.54980776
"TCGA-36-1576"	"TCGA-36-1576"	NA	NA	NA	NA	NA
"TCGA-57-1585"	"TCGA-57-1585"	NA	NA	NA	NA	NA
"TCGA-25-1632"	"TCGA-25-1632"	5.537512472	9.614126581	4.934947839	3.983865334	1.817115501
"TCGA-09-1666"	"TCGA-09-1666"	7.7037285	12.02752128	6.856968705	5.891059207	5.942667113
"TCGA-24-1544"	"TCGA-24-1544"	6.01656534	9.332573667	5.157035278	4.202888253	3.668188012
"TCGA-24-1567"	"TCGA-24-1567"	5.475984538	9.774675123	4.527734021	3.655583138	2.002337463
"TCGA-36-1577"	"TCGA-36-1577"	6.045942648	9.791570629	5.550315619	4.889410508	3.181039362
"TCGA-25-1623"	"TCGA-25-1623"	8.448948663	12.51628494	8.828778701	7.658724561	7.789530513
"TCGA-25-1633"	"TCGA-25-1633"	7.932321578	12.2564515	7.642662704	6.689653788	6.492989713
"TCGA-09-1667"	"TCGA-09-1667"	7.937058459	12.97043227	8.007385467	6.586679278	6.739660204
"TCGA-24-1545"	"TCGA-24-1545"	NA	NA	NA	NA	NA
"TCGA-36-1568"	"TCGA-36-1568"	7.842759892	13.10517148	7.151488028	5.914137931	6.032696716
"TCGA-36-1578"	"TCGA-36-1578"	8.333308719	14.16965251	7.977857316	6.911554714	6.618459802
"TCGA-25-1625"	"TCGA-25-1625"	7.700200942	14.17439024	7.74401083	6.497914696	5.489091018
"TCGA-25-1634"	"TCGA-25-1634"	4.92709742	9.597195398	3.668217497	2.673423989	1.581531025
"TCGA-09-1668"	"TCGA-09-1668"	7.582387801	12.97380628	7.764737528	6.020376642	6.146240585
"TCGA-24-1546"	"TCGA-24-1546"	NA	NA	NA	NA	NA
"TCGA-36-1569"	"TCGA-36-1569"	NA	NA	NA	NA	NA
"TCGA-36-1580"	"TCGA-36-1580"	8.032748857	12.69368396	7.641526205	6.530143342	5.926417734
"TCGA-25-1626"	"TCGA-25-1626"	NA	NA	NA	NA	NA
"TCGA-25-1635"	"TCGA-25-1635"	8.030094661	12.30900158	7.586755557	6.939049865	6.243539329
"TCGA-09-1669"	"TCGA-09-1669"	7.69521924	12.38327718	7.090693083	5.745808775	6.810890958
"TCGA-24-1548"	"TCGA-24-1548"	6.433871763	10.27575903	6.39139165	5.814042952	5.071603603
"TCGA-36-1570"	"TCGA-36-1570"	6.863963731	12.86845749	6.45133189	5.200026349	4.131289931
"TCGA-36-1581"	"TCGA-36-1581"	8.653481587	13.73533145	8.524449897	6.735569908	7.742866588
"TCGA-25-1627"	"TCGA-25-1627"	6.313359697	11.15625797	5.52681601	5.357444879	4.550342099
"TCGA-09-1659"	"TCGA-09-1659"	7.217461288	13.64109975	6.779035477	5.934014971	4.660292531
"TCGA-04-1517"	"TCGA-04-1517"	NA	NA	NA	NA	NA
"TCGA-24-1556"	"TCGA-24-1556"	8.293992635	13.93119553	7.183838228	6.411792764	6.036716153
"TCGA-36-1571"	"TCGA-36-1571"	6.281444192	9.044862422	5.23820912	4.738958839	2.749996539
"TCGA-57-1582"	"TCGA-57-1582"	6.804124837	10.62863681	6.739054105	5.716492617	5.278905572
"TCGA-25-1628"	"TCGA-25-1628"	NA	NA	NA	NA	NA
"TCGA-09-1661"	"TCGA-09-1661"	NA	NA	NA	NA	NA
"TCGA-DA-A1IC"	"TCGA-DA-A1IC"	NA	NA	NA	NA	NA
"TCGA-FS-A1ZP"	"TCGA-FS-A1ZP"	NA	NA	NA	NA	NA
"TCGA-FS-A1YW"	"TCGA-FS-A1YW"	NA	NA	NA	NA	NA
"TCGA-FS-A1ZN"	"TCGA-FS-A1ZN"	5.30434495	10.77351975	5.282434218	3.798150948	4.081904099
"TCGA-FS-A1Z0"	"TCGA-FS-A1Z0"	NA	NA	NA	NA	NA
"TCGA-FS-A1YY"	"TCGA-FS-A1YY"	NA	NA	NA	NA	NA
"TCGA-FS-A1ZC"	"TCGA-FS-A1ZC"	NA	NA	NA	NA	NA
"TCGA-FS-A1ZD"	"TCGA-FS-A1ZD"	NA	NA	NA	NA	NA
"TCGA-FS-A1ZE"	"TCGA-FS-A1ZE"	NA	NA	NA	NA	NA
"TCGA-FS-A1ZQ"	"TCGA-FS-A1ZQ"	NA	NA	NA	NA	NA
"TCGA-FS-A1ZK"	"TCGA-FS-A1ZK"	NA	NA	NA	NA	NA
"TCGA-BF-A1PU"	"TCGA-BF-A1PU"	6.282805444	8.256578448	3.765897409	2.230933901	2.262497285
"TCGA-D3-A1Q3"	"TCGA-D3-A1Q3"	NA	NA	NA	NA	NA
"TCGA-FS-A1ZF"	"TCGA-FS-A1ZF"	NA	NA	NA	NA	NA
"TCGA-FS-A1Z3"	"TCGA-FS-A1Z3"	NA	NA	NA	NA	NA
"TCGA-FS-A1YX"	"TCGA-FS-A1YX"	NA	NA	NA	NA	NA
"TCGA-FS-A1ZH"	"TCGA-FS-A1ZH"	NA	NA	NA	NA	NA
"TCGA-FS-A1ZA"	"TCGA-FS-A1ZA"	NA	NA	NA	NA	NA
"TCGA-FS-A1ZJ"	"TCGA-FS-A1ZJ"	NA	NA	NA	NA	NA
"TCGA-FS-A1Z4"	"TCGA-FS-A1Z4"	NA	NA	NA	NA	NA
"TCGA-D9-A1X3"	"TCGA-D9-A1X3"	NA	NA	NA	NA	NA
"TCGA-FS-A1ZM"	"TCGA-FS-A1ZM"	NA	NA	NA	NA	NA
"TCGA-BF-A1PX"	"TCGA-BF-A1PX"	9.335028403	12.78891211	9.164594528	6.885529968	8.472332874
"TCGA-BF-A1PV"	"TCGA-BF-A1PV"	5.326116221	8.752388581	4.692854881	3.752440163	2.996601072
"TCGA-D3-A1QB"	"TCGA-D3-A1QB"	NA	NA	NA	NA	NA
"TCGA-D3-A1Q9"	"TCGA-D3-A1Q9"	NA	NA	NA	NA	NA
"TCGA-D3-A1Q1"	"TCGA-D3-A1Q1"	NA	NA	NA	NA	NA
"TCGA-D3-A1Q6"	"TCGA-D3-A1Q6"	NA	NA	NA	NA	NA
"TCGA-D3-A1QA"	"TCGA-D3-A1QA"	NA	NA	NA	NA	NA
"TCGA-DA-A1IA"	"TCGA-DA-A1IA"	NA	NA	NA	NA	NA
"TCGA-FS-A1ZS"	"TCGA-FS-A1ZS"	NA	NA	NA	NA	NA
"TCGA-FS-A1Z7"	"TCGA-FS-A1Z7"	NA	NA	NA	NA	NA
"TCGA-FS-A1ZT"	"TCGA-FS-A1ZT"	NA	NA	NA	NA	NA
"TCGA-FS-A1ZR"	"TCGA-FS-A1ZR"	NA	NA	NA	NA	NA
"TCGA-FS-A1ZB"	"TCGA-FS-A1ZB"	NA	NA	NA	NA	NA
"TCGA-BF-A1Q0"	"TCGA-BF-A1Q0"	7.596022057	13.52955506	7.27725771	5.839147018	5.968790645
"TCGA-BF-A1PZ"	"TCGA-BF-A1PZ"	6.494826699	10.17475753	6.071118259	4.318377224	4.905329716
"TCGA-D9-A1JX"	"TCGA-D9-A1JX"	NA	NA	NA	NA	NA
"TCGA-D3-A1Q8"	"TCGA-D3-A1Q8"	NA	NA	NA	NA	NA
"TCGA-D3-A1Q7"	"TCGA-D3-A1Q7"	NA	NA	NA	NA	NA
"TCGA-D3-A1Q4"	"TCGA-D3-A1Q4"	NA	NA	NA	NA	NA
"TCGA-D3-A1Q5"	"TCGA-D3-A1Q5"	NA	NA	NA	NA	NA
"TCGA-FS-A1ZG"	"TCGA-FS-A1ZG"	NA	NA	NA	NA	NA
"TCGA-D9-A1JW"	"TCGA-D9-A1JW"	NA	NA	NA	NA	NA
"TCGA-DA-A1IB"	"TCGA-DA-A1IB"	NA	NA	NA	NA	NA
"TCGA-EB-A1NK"	"TCGA-EB-A1NK"	7.261461462	11.30134609	6.501429658	5.281749161	4.458455951
"TCGA-BJ-A0ZA"	"TCGA-BJ-A0ZA"	8.81900665	11.28389784	5.697787284	4.487569922	5.94100712
"TCGA-BJ-A0Z0"	"TCGA-BJ-A0Z0"	8.570759428	9.916104757	4.006411093	2.61340814	1.811178921
"TCGA-BJ-A0ZG"	"TCGA-BJ-A0ZG"	9.359158794	10.96783798	4.782418102	3.580748974	4.941964335
"TCGA-C4-A0F7"	"TCGA-C4-A0F7"	6.510243451	9.362656044	4.8601735	3.507927317	2.914760805
