"FID"	"IID"	"Sigs160.Attractors_IFIT3"	"Sigs160.Attractors_LYM"	"Sigs160.Bindea_aDC"	"Sigs160.Bindea_B.cells"	"Sigs160.Bindea_CD8.T.cells"
"TCGA-04-1519"	"TCGA-04-1519"	10.01739263	5.788203676	0.035858118	-0.130701532	0.131220544
"TCGA-24-1557"	"TCGA-24-1557"	10.3072448	7.911365989	0.14290207	-0.140597538	0.129715423
"TCGA-36-1574"	"TCGA-36-1574"	11.15258653	8.121166258	0.156511309	-0.148892169	0.133979937
"TCGA-57-1583"	"TCGA-57-1583"	11.13093959	6.52431049	0.083980008	-0.101871545	0.112566385
"TCGA-25-1630"	"TCGA-25-1630"	10.16147844	9.607511393	0.089101671	-0.117076241	0.140735228
"TCGA-09-1662"	"TCGA-09-1662"	8.332283029	9.08500482	0.038689785	-0.086422491	0.153505701
"TCGA-04-1525"	"TCGA-04-1525"	NA	NA	NA	NA	NA
"TCGA-24-1558"	"TCGA-24-1558"	9.650611447	7.091342111	0.072233171	-0.126637587	0.129928709
"TCGA-36-1575"	"TCGA-36-1575"	10.12197849	6.095343644	-0.002805334	-0.106951404	0.131478823
"TCGA-57-1584"	"TCGA-57-1584"	10.69483761	8.266527466	0.070947458	-0.092681349	0.136699182
"TCGA-25-1631"	"TCGA-25-1631"	10.72552128	7.36390705	0.104947567	-0.163389788	0.142614226
"TCGA-09-1665"	"TCGA-09-1665"	NA	NA	NA	NA	NA
"TCGA-04-1536"	"TCGA-04-1536"	NA	NA	NA	NA	NA
"TCGA-24-1560"	"TCGA-24-1560"	11.67296038	6.74819126	0.124363279	-0.12674598	0.123920556
"TCGA-36-1576"	"TCGA-36-1576"	NA	NA	NA	NA	NA
"TCGA-57-1585"	"TCGA-57-1585"	NA	NA	NA	NA	NA
"TCGA-25-1632"	"TCGA-25-1632"	9.691351843	5.693679344	-0.048958159	-0.124733519	0.140130281
"TCGA-09-1666"	"TCGA-09-1666"	12.25392504	8.772329394	0.210630024	-0.093994973	0.127468646
"TCGA-24-1544"	"TCGA-24-1544"	10.58950382	6.15152511	0.108777713	-0.130397916	0.111757911
"TCGA-24-1567"	"TCGA-24-1567"	8.85127463	6.113351394	-0.065320958	-0.147078109	0.136764639
"TCGA-36-1577"	"TCGA-36-1577"	8.487564025	6.599808131	-0.027368687	-0.174589579	0.148501969
"TCGA-25-1623"	"TCGA-25-1623"	12.12246605	9.774409473	0.152289994	-0.0833617	0.147243371
"TCGA-25-1633"	"TCGA-25-1633"	11.09510526	9.163773568	0.148822945	-0.106384652	0.147264562
"TCGA-09-1667"	"TCGA-09-1667"	11.55278448	9.088240838	0.142538319	-0.111328231	0.134889299
"TCGA-24-1545"	"TCGA-24-1545"	NA	NA	NA	NA	NA
"TCGA-36-1568"	"TCGA-36-1568"	10.92091614	8.713174188	0.177811887	-0.089203973	0.156468599
"TCGA-36-1578"	"TCGA-36-1578"	10.69646376	9.263023961	0.124201211	-0.073708022	0.161712306
"TCGA-25-1625"	"TCGA-25-1625"	9.501694155	8.910577083	-0.028928329	-0.070352528	0.152257608
"TCGA-25-1634"	"TCGA-25-1634"	7.963877858	4.754927971	-0.203819572	-0.085135411	0.145920063
"TCGA-09-1668"	"TCGA-09-1668"	11.53214314	8.833258004	0.205769534	-0.086526834	0.154286131
"TCGA-24-1546"	"TCGA-24-1546"	NA	NA	NA	NA	NA
"TCGA-36-1569"	"TCGA-36-1569"	NA	NA	NA	NA	NA
"TCGA-36-1580"	"TCGA-36-1580"	9.704303052	8.852219731	0.070385108	-0.11698319	0.145643015
"TCGA-25-1626"	"TCGA-25-1626"	NA	NA	NA	NA	NA
"TCGA-25-1635"	"TCGA-25-1635"	11.51136772	9.124715928	0.129961991	-0.117856625	0.128094014
"TCGA-09-1669"	"TCGA-09-1669"	9.406310754	8.350314763	0.021061683	-0.08991926	0.149834307
"TCGA-24-1548"	"TCGA-24-1548"	12.31727977	7.768328439	0.220868248	-0.109453091	0.124443858
"TCGA-36-1570"	"TCGA-36-1570"	11.72455907	7.567210903	0.151789302	-0.136316801	0.125779268
"TCGA-36-1581"	"TCGA-36-1581"	11.81514993	9.712602916	0.203204461	-0.063374248	0.125631075
"TCGA-25-1627"	"TCGA-25-1627"	9.024501696	7.600680121	-0.019367738	-0.118780123	0.148839397
"TCGA-09-1659"	"TCGA-09-1659"	11.06501474	7.885324596	0.075946079	-0.124810883	0.147707644
"TCGA-04-1517"	"TCGA-04-1517"	NA	NA	NA	NA	NA
"TCGA-24-1556"	"TCGA-24-1556"	11.92388702	9.058262278	0.180018801	-0.099383122	0.120791485
"TCGA-36-1571"	"TCGA-36-1571"	11.72025149	6.682320346	0.099876772	-0.130264651	0.119717526
"TCGA-57-1582"	"TCGA-57-1582"	8.430500131	7.769557004	-0.072734707	-0.127093925	0.12953868
"TCGA-25-1628"	"TCGA-25-1628"	NA	NA	NA	NA	NA
"TCGA-09-1661"	"TCGA-09-1661"	NA	NA	NA	NA	NA
"TCGA-DA-A1IC"	"TCGA-DA-A1IC"	NA	NA	NA	NA	NA
"TCGA-FS-A1ZP"	"TCGA-FS-A1ZP"	NA	NA	NA	NA	NA
"TCGA-FS-A1YW"	"TCGA-FS-A1YW"	NA	NA	NA	NA	NA
"TCGA-FS-A1ZN"	"TCGA-FS-A1ZN"	7.713345253	5.96315743	-0.050614665	-0.049481262	0.178455305
"TCGA-FS-A1Z0"	"TCGA-FS-A1Z0"	NA	NA	NA	NA	NA
"TCGA-FS-A1YY"	"TCGA-FS-A1YY"	NA	NA	NA	NA	NA
"TCGA-FS-A1ZC"	"TCGA-FS-A1ZC"	NA	NA	NA	NA	NA
"TCGA-FS-A1ZD"	"TCGA-FS-A1ZD"	NA	NA	NA	NA	NA
"TCGA-FS-A1ZE"	"TCGA-FS-A1ZE"	NA	NA	NA	NA	NA
"TCGA-FS-A1ZQ"	"TCGA-FS-A1ZQ"	NA	NA	NA	NA	NA
"TCGA-FS-A1ZK"	"TCGA-FS-A1ZK"	NA	NA	NA	NA	NA
"TCGA-BF-A1PU"	"TCGA-BF-A1PU"	6.667156312	4.99965076	0.011191403	-0.106728474	0.169010536
"TCGA-D3-A1Q3"	"TCGA-D3-A1Q3"	NA	NA	NA	NA	NA
"TCGA-FS-A1ZF"	"TCGA-FS-A1ZF"	NA	NA	NA	NA	NA
"TCGA-FS-A1Z3"	"TCGA-FS-A1Z3"	NA	NA	NA	NA	NA
"TCGA-FS-A1YX"	"TCGA-FS-A1YX"	NA	NA	NA	NA	NA
"TCGA-FS-A1ZH"	"TCGA-FS-A1ZH"	NA	NA	NA	NA	NA
