"FID"	"IID"	"Sigs160.Bindea_Cytotoxic.cells"	"Sigs160.Bindea_DC"	"Sigs160.Bindea_Eosinophils"	"Sigs160.Bindea_iDC"	"Sigs160.Bindea_Lymph.vessels"
"TCGA-04-1519"	"TCGA-04-1519"	-0.195363038	-0.093658176	-0.007692437	-0.04594856	-0.228212789
"TCGA-24-1557"	"TCGA-24-1557"	-0.159371701	-0.083954347	-0.021599279	-0.006952458	-0.194705123
"TCGA-36-1574"	"TCGA-36-1574"	-0.101707758	-0.072470714	-0.005159433	-0.00994695	-0.071215581
"TCGA-57-1583"	"TCGA-57-1583"	-0.158724331	-0.089495391	-0.03054814	-0.092118138	-0.079552291
"TCGA-25-1630"	"TCGA-25-1630"	-0.103030198	-0.086247694	0.001716656	0.035985254	-0.188858992
"TCGA-09-1662"	"TCGA-09-1662"	-0.06203835	-0.027212223	0.02452793	-0.00647989	-0.198114
"TCGA-04-1525"	"TCGA-04-1525"	NA	NA	NA	NA	NA
"TCGA-24-1558"	"TCGA-24-1558"	-0.198974786	-0.10405536	0.015013186	-0.043094046	-0.159728795
"TCGA-36-1575"	"TCGA-36-1575"	-0.188635651	-0.126274882	-0.000136308	-0.041984932	-0.111456516
"TCGA-57-1584"	"TCGA-57-1584"	-0.108048242	-0.105929652	0.025524291	-0.021649408	-0.206600424
"TCGA-25-1631"	"TCGA-25-1631"	-0.133771837	-0.054943036	0.01656885	-0.01758676	-0.181790731
"TCGA-09-1665"	"TCGA-09-1665"	NA	NA	NA	NA	NA
"TCGA-04-1536"	"TCGA-04-1536"	NA	NA	NA	NA	NA
"TCGA-24-1560"	"TCGA-24-1560"	-0.150019789	-0.107901226	-0.010730164	-0.055921129	-0.031823799
"TCGA-36-1576"	"TCGA-36-1576"	NA	NA	NA	NA	NA
"TCGA-57-1585"	"TCGA-57-1585"	NA	NA	NA	NA	NA
"TCGA-25-1632"	"TCGA-25-1632"	-0.148814327	-0.052026317	0.029495854	-0.038703775	0.003267997
"TCGA-09-1666"	"TCGA-09-1666"	-0.108871484	-0.086991034	-0.043513797	-0.035509979	-0.135746468
"TCGA-24-1544"	"TCGA-24-1544"	-0.17968994	-0.184462461	-0.009077826	-0.041027269	-0.147988567
"TCGA-24-1567"	"TCGA-24-1567"	-0.186824662	-0.199275278	0.056656198	-0.018841884	-0.172268031
"TCGA-36-1577"	"TCGA-36-1577"	-0.199475244	-0.205744109	0.016861895	-0.023017398	-0.078615373
"TCGA-25-1623"	"TCGA-25-1623"	-0.053272847	-0.05306063	0.022692213	0.016881587	-0.013093342
"TCGA-25-1633"	"TCGA-25-1633"	-0.109239703	-0.144243951	0.011382308	-0.005107022	0.01078585
"TCGA-09-1667"	"TCGA-09-1667"	-0.038450847	-0.05741466	-0.03510795	-0.003596045	-0.149487022
"TCGA-24-1545"	"TCGA-24-1545"	NA	NA	NA	NA	NA
"TCGA-36-1568"	"TCGA-36-1568"	-0.10318083	-0.070961364	0.020582625	0.010183247	-0.180940135
"TCGA-36-1578"	"TCGA-36-1578"	-0.043834167	-0.031352046	-0.001831698	0.000771884	-0.17959159
"TCGA-25-1625"	"TCGA-25-1625"	-0.060550574	-0.040268857	0.006935115	0.018196413	-0.118097234
"TCGA-25-1634"	"TCGA-25-1634"	-0.208495515	-0.103659224	-0.011079381	-0.043859862	-0.12056818
"TCGA-09-1668"	"TCGA-09-1668"	-0.085706981	-0.028250307	0.02083001	-0.001471476	-0.134160026
"TCGA-24-1546"	"TCGA-24-1546"	NA	NA	NA	NA	NA
"TCGA-36-1569"	"TCGA-36-1569"	NA	NA	NA	NA	NA
"TCGA-36-1580"	"TCGA-36-1580"	-0.104157029	0.004887939	0.00203099	-0.007576525	-0.046027202
"TCGA-25-1626"	"TCGA-25-1626"	NA	NA	NA	NA	NA
"TCGA-25-1635"	"TCGA-25-1635"	-0.090747891	-0.079640262	-0.026303765	0.013418414	-0.043569713
"TCGA-09-1669"	"TCGA-09-1669"	-0.142818724	-0.057181632	-0.001100756	-0.044858769	-0.155400915
"TCGA-24-1548"	"TCGA-24-1548"	-0.1556359	-0.071536394	0.012669695	-0.058753611	-0.233289163
"TCGA-36-1570"	"TCGA-36-1570"	-0.145562009	-0.124553714	-0.007155846	-0.054686828	-0.241337993
"TCGA-36-1581"	"TCGA-36-1581"	-0.090291281	-0.104762759	0.016164128	-0.014254441	-0.219098919
"TCGA-25-1627"	"TCGA-25-1627"	-0.140693902	-0.048339671	0.018382243	-0.041439509	-0.182408391
"TCGA-09-1659"	"TCGA-09-1659"	-0.074748574	-0.084622208	0.017939417	-0.005007346	-0.14213099
"TCGA-04-1517"	"TCGA-04-1517"	NA	NA	NA	NA	NA
"TCGA-24-1556"	"TCGA-24-1556"	-0.10890037	-0.110920107	-0.019302812	-0.033981916	-0.241342548
"TCGA-36-1571"	"TCGA-36-1571"	-0.17050593	-0.064297417	0.013925267	-0.076762134	-0.066907453
"TCGA-57-1582"	"TCGA-57-1582"	-0.192640547	-0.095203229	-0.024439359	-0.021917465	-0.050542657
"TCGA-25-1628"	"TCGA-25-1628"	NA	NA	NA	NA	NA
"TCGA-09-1661"	"TCGA-09-1661"	NA	NA	NA	NA	NA
"TCGA-DA-A1IC"	"TCGA-DA-A1IC"	NA	NA	NA	NA	NA
"TCGA-FS-A1ZP"	"TCGA-FS-A1ZP"	NA	NA	NA	NA	NA
"TCGA-FS-A1YW"	"TCGA-FS-A1YW"	NA	NA	NA	NA	NA
"TCGA-FS-A1ZN"	"TCGA-FS-A1ZN"	-0.107862154	-0.069317247	0.055556003	0.016639311	-0.080537095
"TCGA-FS-A1Z0"	"TCGA-FS-A1Z0"	NA	NA	NA	NA	NA
"TCGA-FS-A1YY"	"TCGA-FS-A1YY"	NA	NA	NA	NA	NA
"TCGA-FS-A1ZC"	"TCGA-FS-A1ZC"	NA	NA	NA	NA	NA
"TCGA-FS-A1ZD"	"TCGA-FS-A1ZD"	NA	NA	NA	NA	NA
"TCGA-FS-A1ZE"	"TCGA-FS-A1ZE"	NA	NA	NA	NA	NA
"TCGA-FS-A1ZQ"	"TCGA-FS-A1ZQ"	NA	NA	NA	NA	NA
"TCGA-FS-A1ZK"	"TCGA-FS-A1ZK"	NA	NA	NA	NA	NA
"TCGA-BF-A1PU"	"TCGA-BF-A1PU"	-0.081470964	-0.100821394	0.065421214	0.011610391	-0.093979191
"TCGA-D3-A1Q3"	"TCGA-D3-A1Q3"	NA	NA	NA	NA	NA
"TCGA-FS-A1ZF"	"TCGA-FS-A1ZF"	NA	NA	NA	NA	NA
"TCGA-FS-A1Z3"	"TCGA-FS-A1Z3"	NA	NA	NA	NA	NA
"TCGA-FS-A1YX"	"TCGA-FS-A1YX"	NA	NA	NA	NA	NA
"TCGA-FS-A1ZH"	"TCGA-FS-A1ZH"	NA	NA	NA	NA	NA
"TCGA-FS-A1ZA"	"TCGA-FS-A1ZA"	NA	NA	NA	NA	NA
"TCGA-FS-A1ZJ"	"TCGA-FS-A1ZJ"	NA	NA	NA	NA	NA
"TCGA-FS-A1Z4"	"TCGA-FS-A1Z4"	NA	NA	NA	NA	NA
"TCGA-D9-A1X3"	"TCGA-D9-A1X3"	NA	NA	NA	NA	NA
"TCGA-FS-A1ZM"	"TCGA-FS-A1ZM"	NA	NA	NA	NA	NA
"TCGA-BF-A1PX"	"TCGA-BF-A1PX"	0.156163949	0.018257534	0.053170878	0.118885251	0.026169883
"TCGA-BF-A1PV"	"TCGA-BF-A1PV"	-0.070558139	-0.08265504	0.063505043	0.030018207	-0.088731057
"TCGA-D3-A1QB"	"TCGA-D3-A1QB"	NA	NA	NA	NA	NA
"TCGA-D3-A1Q9"	"TCGA-D3-A1Q9"	NA	NA	NA	NA	NA
"TCGA-D3-A1Q1"	"TCGA-D3-A1Q1"	NA	NA	NA	NA	NA
"TCGA-D3-A1Q6"	"TCGA-D3-A1Q6"	NA	NA	NA	NA	NA
"TCGA-D3-A1QA"	"TCGA-D3-A1QA"	NA	NA	NA	NA	NA
"TCGA-DA-A1IA"	"TCGA-DA-A1IA"	NA	NA	NA	NA	NA
"TCGA-FS-A1ZS"	"TCGA-FS-A1ZS"	NA	NA	NA	NA	NA
"TCGA-FS-A1Z7"	"TCGA-FS-A1Z7"	NA	NA	NA	NA	NA
"TCGA-FS-A1ZT"	"TCGA-FS-A1ZT"	NA	NA	NA	NA	NA
"TCGA-FS-A1ZR"	"TCGA-FS-A1ZR"	NA	NA	NA	NA	NA
"TCGA-FS-A1ZB"	"TCGA-FS-A1ZB"	NA	NA	NA	NA	NA
"TCGA-BF-A1Q0"	"TCGA-BF-A1Q0"	-0.012228205	-0.121144962	0.028087186	0.034860846	-0.042760794
"TCGA-BF-A1PZ"	"TCGA-BF-A1PZ"	-0.01855312	-0.036556207	0.050372476	0.020870891	-0.109651134
"TCGA-D9-A1JX"	"TCGA-D9-A1JX"	NA	NA	NA	NA	NA
"TCGA-D3-A1Q8"	"TCGA-D3-A1Q8"	NA	NA	NA	NA	NA
"TCGA-D3-A1Q7"	"TCGA-D3-A1Q7"	NA	NA	NA	NA	NA
"TCGA-D3-A1Q4"	"TCGA-D3-A1Q4"	NA	NA	NA	NA	NA
"TCGA-D3-A1Q5"	"TCGA-D3-A1Q5"	NA	NA	NA	NA	NA
"TCGA-FS-A1ZG"	"TCGA-FS-A1ZG"	NA	NA	NA	NA	NA
"TCGA-D9-A1JW"	"TCGA-D9-A1JW"	NA	NA	NA	NA	NA
"TCGA-DA-A1IB"	"TCGA-DA-A1IB"	NA	NA	NA	NA	NA
"TCGA-EB-A1NK"	"TCGA-EB-A1NK"	-0.01180627	-0.037609306	0.04934488	0.075798201	-0.090077841
"TCGA-BJ-A0ZA"	"TCGA-BJ-A0ZA"	-0.034115177	-0.084337347	0.080756294	0.038313472	-0.052519851
"TCGA-BJ-A0Z0"	"TCGA-BJ-A0Z0"	-0.13226455	-0.117518719	0.088997591	0.043863403	0.005476996
"TCGA-BJ-A0ZG"	"TCGA-BJ-A0ZG"	-0.041189565	-0.033859308	0.085299801	0.055668426	0.018611021
"TCGA-C4-A0F7"	"TCGA-C4-A0F7"	-0.09692611	-0.064386831	0.077809392	0.024503602	-0.059075235
"TCGA-BT-A0S7"	"TCGA-BT-A0S7"	-0.069156577	-0.065481527	0.067815941	0.062353526	-0.06435507
"TCGA-CU-A0YN"	"TCGA-CU-A0YN"	-0.051198465	0.007758126	0.040336931	0.093160097	0.073169869
"TCGA-CE-A13K"	"TCGA-CE-A13K"	-0.042051688	-0.021272407	0.105184804	0.039729514	-0.042330949
"TCGA-DJ-A13M"	"TCGA-DJ-A13M"	-0.084193468	-0.118320378	0.06845694	0.027297361	0.060290905
"TCGA-DJ-A13W"	"TCGA-DJ-A13W"	-0.00489549	-0.001580454	0.097855845	0.07685548	-0.036614393
"TCGA-DE-A0Y2"	"TCGA-DE-A0Y2"	-0.062419397	-0.027675472	0.09234085	0.061394192	-0.067359953
