"FID"	"IID"	"Sigs160.Bindea_Macrophages"	"Sigs160.Bindea_Mast.cells"	"Sigs160.Bindea_Neutrophils"	"Sigs160.Bindea_NK.CD56bright.cells"	"Sigs160.Bindea_NK.CD56dim.cells"
"TCGA-04-1519"	"TCGA-04-1519"	0.028989565	-0.119928207	-0.157491881	0.011985616	-0.215267442
"TCGA-24-1557"	"TCGA-24-1557"	0.090125169	-0.099662083	-0.113393822	0.007379639	-0.194195717
"TCGA-36-1574"	"TCGA-36-1574"	0.126796422	-0.09438702	-0.084179371	-0.01497297	-0.151126745
"TCGA-57-1583"	"TCGA-57-1583"	0.044891198	-0.102130831	-0.148671411	0.039411164	-0.14736929
"TCGA-25-1630"	"TCGA-25-1630"	0.15188656	-0.104348442	-0.024505512	0.035362655	-0.165091246
"TCGA-09-1662"	"TCGA-09-1662"	0.073822408	-0.125294631	-0.105416971	-0.003704404	-0.158561313
"TCGA-04-1525"	"TCGA-04-1525"	NA	NA	NA	NA	NA
"TCGA-24-1558"	"TCGA-24-1558"	0.04239329	-0.154550615	-0.147697879	-0.02598163	-0.152171414
"TCGA-36-1575"	"TCGA-36-1575"	0.006265829	-0.118566023	-0.176948895	0.006546021	-0.186121898
"TCGA-57-1584"	"TCGA-57-1584"	0.07881547	-0.093573255	-0.121851945	-0.010929968	-0.222824948
"TCGA-25-1631"	"TCGA-25-1631"	0.102612259	-0.102357973	-0.162497418	-0.053515261	-0.208624057
"TCGA-09-1665"	"TCGA-09-1665"	NA	NA	NA	NA	NA
"TCGA-04-1536"	"TCGA-04-1536"	NA	NA	NA	NA	NA
"TCGA-24-1560"	"TCGA-24-1560"	0.035788065	-0.097833438	-0.155398639	-0.003522713	-0.132942938
"TCGA-36-1576"	"TCGA-36-1576"	NA	NA	NA	NA	NA
"TCGA-57-1585"	"TCGA-57-1585"	NA	NA	NA	NA	NA
"TCGA-25-1632"	"TCGA-25-1632"	0.029728018	-0.148221296	-0.156606482	0.047100677	-0.171702511
"TCGA-09-1666"	"TCGA-09-1666"	0.110647971	-0.07813793	-0.169626893	-0.024967105	-0.180429243
"TCGA-24-1544"	"TCGA-24-1544"	0.062182511	-0.183194221	-0.184846114	-0.058577685	-0.204597589
"TCGA-24-1567"	"TCGA-24-1567"	0.027821568	-0.115362587	-0.184703911	-0.037958736	-0.193200527
"TCGA-36-1577"	"TCGA-36-1577"	0.043374026	-0.164805046	-0.139581977	-0.056656228	-0.178304389
"TCGA-25-1623"	"TCGA-25-1623"	0.188881368	-0.111753422	-0.05060432	-0.039219373	-0.118131414
"TCGA-25-1633"	"TCGA-25-1633"	0.151867669	-0.093919086	-0.048225335	-0.039823133	-0.09807621
"TCGA-09-1667"	"TCGA-09-1667"	0.123852366	-0.114556688	-0.093317623	-0.081054156	-0.112377849
"TCGA-24-1545"	"TCGA-24-1545"	NA	NA	NA	NA	NA
"TCGA-36-1568"	"TCGA-36-1568"	0.097306983	-0.077889834	-0.147764995	-0.102244572	-0.159131208
"TCGA-36-1578"	"TCGA-36-1578"	0.094151381	-0.12086149	-0.134648092	-0.023833989	-0.149107344
"TCGA-25-1625"	"TCGA-25-1625"	0.113233637	-0.081893073	-0.09300214	-0.048243439	-0.170291003
"TCGA-25-1634"	"TCGA-25-1634"	0.00978132	-0.176799342	-0.179911467	-0.080198788	-0.216560584
"TCGA-09-1668"	"TCGA-09-1668"	0.113214374	-0.112090677	-0.084146941	0.020244883	-0.1025916
"TCGA-24-1546"	"TCGA-24-1546"	NA	NA	NA	NA	NA
"TCGA-36-1569"	"TCGA-36-1569"	NA	NA	NA	NA	NA
"TCGA-36-1580"	"TCGA-36-1580"	0.173697193	-0.134965696	-0.112247465	-0.056431803	-0.123031445
"TCGA-25-1626"	"TCGA-25-1626"	NA	NA	NA	NA	NA
"TCGA-25-1635"	"TCGA-25-1635"	0.154851336	-0.088416719	-0.117253491	0.01768524	-0.144796028
"TCGA-09-1669"	"TCGA-09-1669"	0.080882991	-0.145402265	-0.144832771	-0.028892603	-0.13477721
