"FID"	"IID"	"Sigs160.Bindea_NK.cells"	"Sigs160.Bindea_pDC"	"Sigs160.Bindea_T.cells"	"Sigs160.Bindea_T.helper.cells"	"Sigs160.Bindea_Tcm.cells"
"TCGA-04-1519"	"TCGA-04-1519"	0.058361698	-0.22532056	-0.210028826	0.159035874	0.110914489
"TCGA-24-1557"	"TCGA-24-1557"	0.038149278	-0.306784113	-0.180995553	0.168696565	0.096477715
"TCGA-36-1574"	"TCGA-36-1574"	0.03792461	-0.201556282	-0.106984964	0.159635954	0.064831123
"TCGA-57-1583"	"TCGA-57-1583"	0.033137697	-0.174173575	-0.212174878	0.166350454	0.062753471
"TCGA-25-1630"	"TCGA-25-1630"	0.036210335	-0.197399979	-0.171264822	0.158918227	0.096515313
"TCGA-09-1662"	"TCGA-09-1662"	0.053636472	-0.204734632	-0.129487707	0.186292784	0.113980905
"TCGA-04-1525"	"TCGA-04-1525"	NA	NA	NA	NA	NA
"TCGA-24-1558"	"TCGA-24-1558"	0.053957642	-0.265367769	-0.231948597	0.146255878	0.082588918
"TCGA-36-1575"	"TCGA-36-1575"	0.062906767	-0.239598686	-0.211272867	0.197174796	0.091092645
"TCGA-57-1584"	"TCGA-57-1584"	0.044851169	-0.256957366	-0.136654713	0.145771832	0.108463928
"TCGA-25-1631"	"TCGA-25-1631"	0.074961081	-0.239451993	-0.185835856	0.164236845	0.113161504
"TCGA-09-1665"	"TCGA-09-1665"	NA	NA	NA	NA	NA
"TCGA-04-1536"	"TCGA-04-1536"	NA	NA	NA	NA	NA
"TCGA-24-1560"	"TCGA-24-1560"	0.044137047	-0.301600958	-0.167178911	0.17796409	0.087756882
"TCGA-36-1576"	"TCGA-36-1576"	NA	NA	NA	NA	NA
"TCGA-57-1585"	"TCGA-57-1585"	NA	NA	NA	NA	NA
"TCGA-25-1632"	"TCGA-25-1632"	0.07222964	-0.264878792	-0.173812237	0.154564876	0.115736972
"TCGA-09-1666"	"TCGA-09-1666"	0.054604716	-0.243021524	-0.121325683	0.169736243	0.084132868
"TCGA-24-1544"	"TCGA-24-1544"	0.050174705	-0.294070714	-0.159706154	0.174751224	0.05074817
"TCGA-24-1567"	"TCGA-24-1567"	0.06567357	-0.285709208	-0.198634068	0.145022929	0.066716937
"TCGA-36-1577"	"TCGA-36-1577"	0.077057727	-0.248595861	-0.198730335	0.154440239	0.07059656
"TCGA-25-1623"	"TCGA-25-1623"	0.080965389	-0.211189127	-0.033621343	0.165379131	0.090455955
"TCGA-25-1633"	"TCGA-25-1633"	0.080367844	-0.247422316	-0.11720871	0.160268595	0.117687784
"TCGA-09-1667"	"TCGA-09-1667"	0.063086937	-0.197986751	-0.057042312	0.175029344	0.068436965
"TCGA-24-1545"	"TCGA-24-1545"	NA	NA	NA	NA	NA
"TCGA-36-1568"	"TCGA-36-1568"	0.049711243	-0.228890092	-0.105872613	0.168845603	0.085795659
"TCGA-36-1578"	"TCGA-36-1578"	0.05196902	-0.195639662	-0.066038431	0.19248979	0.113984879
"TCGA-25-1625"	"TCGA-25-1625"	0.072021995	-0.266443518	-0.144652583	0.162389937	0.073135204
"TCGA-25-1634"	"TCGA-25-1634"	0.056577833	-0.456753332	-0.204310784	0.162397261	0.077529776
"TCGA-09-1668"	"TCGA-09-1668"	0.051467458	-0.196324229	-0.081560487	0.186145745	0.110284837
"TCGA-24-1546"	"TCGA-24-1546"	NA	NA	NA	NA	NA
"TCGA-36-1569"	"TCGA-36-1569"	NA	NA	NA	NA	NA
"TCGA-36-1580"	"TCGA-36-1580"	0.078307574	-0.207424005	-0.088231847	0.15321054	0.093123481
"TCGA-25-1626"	"TCGA-25-1626"	NA	NA	NA	NA	NA
"TCGA-25-1635"	"TCGA-25-1635"	0.07648772	-0.244243966	-0.081168496	0.177569556	0.068356086
"TCGA-09-1669"	"TCGA-09-1669"	0.047200341	-0.225662844	-0.114385821	0.179808184	0.090449695
"TCGA-24-1548"	"TCGA-24-1548"	0.04037732	-0.287616218	-0.187724412	0.183378853	0.087537986
"TCGA-36-1570"	"TCGA-36-1570"	0.053303996	-0.214025193	-0.174181642	0.160763754	0.102093279
"TCGA-36-1581"	"TCGA-36-1581"	0.050697092	-0.175933892	-0.045701279	0.204536627	0.10892708
"TCGA-25-1627"	"TCGA-25-1627"	0.039600452	-0.266492416	-0.137015895	0.152690993	0.081547359
"TCGA-09-1659"	"TCGA-09-1659"	0.053080443	-0.16072671	-0.153896199	0.149034239	0.056607047
"TCGA-04-1517"	"TCGA-04-1517"	NA	NA	NA	NA	NA
"TCGA-24-1556"	"TCGA-24-1556"	0.056921192	-0.198182342	-0.107196774	0.174423776	0.094070829
"TCGA-36-1571"	"TCGA-36-1571"	0.051177192	-0.292554885	-0.127716503	0.185367634	0.067590548
"TCGA-57-1582"	"TCGA-57-1582"	0.01815332	-0.242434752	-0.150136506	0.17826731	0.069516258
"TCGA-25-1628"	"TCGA-25-1628"	NA	NA	NA	NA	NA
"TCGA-09-1661"	"TCGA-09-1661"	NA	NA	NA	NA	NA
"TCGA-DA-A1IC"	"TCGA-DA-A1IC"	NA	NA	NA	NA	NA
"TCGA-FS-A1ZP"	"TCGA-FS-A1ZP"	NA	NA	NA	NA	NA
"TCGA-FS-A1YW"	"TCGA-FS-A1YW"	NA	NA	NA	NA	NA
"TCGA-FS-A1ZN"	"TCGA-FS-A1ZN"	0.110189789	-0.153636545	-0.177751428	0.219791346	0.178914475
"TCGA-FS-A1Z0"	"TCGA-FS-A1Z0"	NA	NA	NA	NA	NA
"TCGA-FS-A1YY"	"TCGA-FS-A1YY"	NA	NA	NA	NA	NA
"TCGA-FS-A1ZC"	"TCGA-FS-A1ZC"	NA	NA	NA	NA	NA
"TCGA-FS-A1ZD"	"TCGA-FS-A1ZD"	NA	NA	NA	NA	NA
"TCGA-FS-A1ZE"	"TCGA-FS-A1ZE"	NA	NA	NA	NA	NA
"TCGA-FS-A1ZQ"	"TCGA-FS-A1ZQ"	NA	NA	NA	NA	NA
"TCGA-FS-A1ZK"	"TCGA-FS-A1ZK"	NA	NA	NA	NA	NA
"TCGA-BF-A1PU"	"TCGA-BF-A1PU"	0.135758709	-0.020243644	-0.124270442	0.207625011	0.122272883
"TCGA-D3-A1Q3"	"TCGA-D3-A1Q3"	NA	NA	NA	NA	NA
"TCGA-FS-A1ZF"	"TCGA-FS-A1ZF"	NA	NA	NA	NA	NA
"TCGA-FS-A1Z3"	"TCGA-FS-A1Z3"	NA	NA	NA	NA	NA
"TCGA-FS-A1YX"	"TCGA-FS-A1YX"	NA	NA	NA	NA	NA
"TCGA-FS-A1ZH"	"TCGA-FS-A1ZH"	NA	NA	NA	NA	NA
"TCGA-FS-A1ZA"	"TCGA-FS-A1ZA"	NA	NA	NA	NA	NA
"TCGA-FS-A1ZJ"	"TCGA-FS-A1ZJ"	NA	NA	NA	NA	NA
