"FID"	"IID"	"Sigs160.Bindea_Th2.cells"	"Sigs160.Bindea_Treg.cells"	"Sigs160.ICR_ICR.SCORE"	"Sigs160.Senbabaoglu_Angiogenesis"	"Sigs160.Senbabaoglu_APM1"
"TCGA-04-1519"	"TCGA-04-1519"	-0.070013006	-0.266785802	3.633980081	-0.083432471	0.335297015
"TCGA-24-1557"	"TCGA-24-1557"	-0.01916975	-0.215883306	4.864780529	-0.051864027	0.396224619
"TCGA-36-1574"	"TCGA-36-1574"	0.032147927	-0.1990625	6.390285806	-0.008266734	0.41555643
"TCGA-57-1583"	"TCGA-57-1583"	-0.01690556	-0.287860707	4.723567917	0.019169945	0.388680382
"TCGA-25-1630"	"TCGA-25-1630"	-0.03971916	-0.273582581	5.697562457	-0.015195726	0.389774058
"TCGA-09-1662"	"TCGA-09-1662"	-0.020106203	-0.23822955	6.071098808	-0.018792833	0.419317559
"TCGA-04-1525"	"TCGA-04-1525"	NA	NA	NA	NA	NA
"TCGA-24-1558"	"TCGA-24-1558"	-0.027926217	-0.267812654	3.696882765	-0.070943709	0.362586946
"TCGA-36-1575"	"TCGA-36-1575"	-0.043183357	-0.27128439	3.624202832	-0.10455177	0.316698547
"TCGA-57-1584"	"TCGA-57-1584"	-0.060409313	-0.312065064	5.023889937	-0.037154898	0.414024576
"TCGA-25-1631"	"TCGA-25-1631"	-0.032057829	-0.258619888	5.051678041	0.016887361	0.401605648
"TCGA-09-1665"	"TCGA-09-1665"	NA	NA	NA	NA	NA
"TCGA-04-1536"	"TCGA-04-1536"	NA	NA	NA	NA	NA
"TCGA-24-1560"	"TCGA-24-1560"	-0.030000454	-0.281944086	5.057955022	-0.074462076	0.3968171
"TCGA-36-1576"	"TCGA-36-1576"	NA	NA	NA	NA	NA
"TCGA-57-1585"	"TCGA-57-1585"	NA	NA	NA	NA	NA
"TCGA-25-1632"	"TCGA-25-1632"	-0.041374928	-0.284046687	3.345280559	-0.052053559	0.32842853
"TCGA-09-1666"	"TCGA-09-1666"	-0.030347209	-0.199453682	7.074494748	-0.061256767	0.413794438
"TCGA-24-1544"	"TCGA-24-1544"	-0.060262608	-0.320817751	4.425365876	-0.095695147	0.366946783
"TCGA-24-1567"	"TCGA-24-1567"	0.004595218	-0.248009089	4.263436973	-0.078556472	0.374552513
"TCGA-36-1577"	"TCGA-36-1577"	0.02046921	-0.277494396	3.468081187	-0.028645816	0.324038527
"TCGA-25-1623"	"TCGA-25-1623"	0.001008179	-0.073737718	7.740139681	0.027548177	0.414774146
"TCGA-25-1633"	"TCGA-25-1633"	-0.026191493	-0.121657455	6.850783069	0.034023623	0.398766187
"TCGA-09-1667"	"TCGA-09-1667"	-0.015088558	-0.159944347	7.848165036	-0.008374836	0.419095754
"TCGA-24-1545"	"TCGA-24-1545"	NA	NA	NA	NA	NA
"TCGA-36-1568"	"TCGA-36-1568"	-0.07253043	-0.160237733	6.408059337	-0.020938412	0.40787502
"TCGA-36-1578"	"TCGA-36-1578"	-0.053566104	-0.136131172	7.425890593	-0.024050941	0.424951914
"TCGA-25-1625"	"TCGA-25-1625"	-0.046754045	-0.255197049	5.883690581	-0.009059706	0.410795667
"TCGA-25-1634"	"TCGA-25-1634"	-0.049480594	-0.348102662	2.116808919	-0.081421198	0.251877508
"TCGA-09-1668"	"TCGA-09-1668"	0.002753449	-0.109970907	7.612795634	-0.024912239	0.421727718
"TCGA-24-1546"	"TCGA-24-1546"	NA	NA	NA	NA	NA
"TCGA-36-1569"	"TCGA-36-1569"	NA	NA	NA	NA	NA
"TCGA-36-1580"	"TCGA-36-1580"	-0.028986457	-0.175689404	6.733405787	-0.008054401	0.401026959
